composition,dmax,m,method,source,tg,tl,tstar,visc,tg/tl,tg/tstar
Zr48Al7Cu45,,,md,,781.1419167916793,,949.76497649765,0.09981203273527313,,0.8224581197679193
Zr48Al7Cu45,,,md,,791.8774925092506,,966.6766676667668,0.09977886101808699,,0.8191751378675325
Zr47Al7Cu46,,,md,,824.8678579657964,,946.914691469147,0.09981763067131254,,0.8711110572020022
Zr47Al7Cu46,,,md,,833.5005656365636,,944.4444444444445,0.099585654510451,,0.8825300106740085
Zr47Al7Cu46,,,md,,787.7903536353638,,942.1642164216423,0.09999151821228648,,0.8361497283641344
Zr47Al7Cu46,,,md,,807.0085324032408,,947.1047104710472,0.09971393122798383,,0.8520795256121904
Zr47Al7Cu46,,,md,,838.6736354435443,,949.3849384938493,0.09962316938975088,,0.8833862866774116
ZrCu,,,md,,705.8992203320337,,868.0568056805681,0.0999541088182282,,0.8131947307049787
ZrCu,,,md,,713.9734183618361,,870.7170717071707,0.09971258725847733,,0.8199832546776472
ZrCu,,,md,,727.5252685868588,,894.4694469446945,0.09983825082167624,,0.8133595519354191
ZrCu,,,md,,686.6771524752477,,867.8667866786681,0.09997373513299043,,0.7912241406347231
ZrCu,,,md,,783.0459803380342,,890.0990099009903,0.09959845351240054,,0.8797290769092484
Ni4P,,,md,,564.1626410441046,,719.8419841984198,0.09978443304236073,,0.783731226336191
Ni4P,,,md,,612.2134336433643,,699.8749874987499,0.09965560491100596,,0.8747468399054021
Ni4P,,,md,,605.1591157315734,,714.7114711471147,0.09994366569030567,,0.8467180675864774
Ni4P,,,md,,634.2860983498349,,696.8496849684967,0.09906371468581526,,0.9102193945578232
Ni4P,,,md,,630.6214653465344,,709.3909390939093,0.09977631534874476,,0.8889618271020129
Zr6AlCu3,,,md,,735.0642789878991,,917.0817081708173,0.0999352046247198,,0.8015253956531698
Zr6AlCu3,,,md,,749.9270208820883,,898.4598459845986,0.09887232616715136,,0.8346806195442857
Zr6AlCu3,,,md,,799.3568405140511,,930.3830383038304,0.09983819574108896,,0.8591696189682784
Zr6AlCu3,,,md,,785.274371517152,,900.5500550055007,0.09986216229541768,,0.8719941408613378
Zr6AlCu3,,,md,,780.944268976898,,911.3811381138113,0.09987079924993784,,0.8568799992867259
