run,temp,visc
viscosity_Zr400Cu100_dT50K_1/run/step_32,400.0,4.99133
viscosity_Zr400Cu100_dT50K_1/run/step_18,1100.0,0.012306
viscosity_Zr400Cu100_dT50K_1/run/step_16,1200.0,0.00933434
viscosity_Zr400Cu100_dT50K_1/run/step_36,200.0,12.981
viscosity_Zr400Cu100_dT50K_1/run/step_35,250.0,10.04
viscosity_Zr400Cu100_dT50K_1/run/step_26,700.0,0.514233
viscosity_Zr400Cu100_dT50K_1/run/step_0,2000.0,0.00242895
viscosity_Zr400Cu100_dT50K_1/run/step_2,1900.0,0.00358114
viscosity_Zr400Cu100_dT50K_1/run/step_15,1250.0,0.00711605
viscosity_Zr400Cu100_dT50K_1/run/step_4,1800.0,0.00271807
viscosity_Zr400Cu100_dT50K_1/run/step_33,350.0,6.28803
viscosity_Zr400Cu100_dT50K_1/run/step_17,1150.0,0.0148619
viscosity_Zr400Cu100_dT50K_1/run/step_24,800.0,0.583998
viscosity_Zr400Cu100_dT50K_1/run/step_6,1700.0,0.00364009
viscosity_Zr400Cu100_dT50K_1/run/step_3,1850.0,0.00273222
viscosity_Zr400Cu100_dT50K_1/run/step_22,900.0,0.0798865
viscosity_Cu250Zr250_dT50K_3/run/step_7,1650.0,0.00328795
viscosity_Cu250Zr250_dT50K_3/run/step_1,1950.0,0.002543
viscosity_Cu250Zr250_dT50K_3/run/step_29,550.0,2.16175
viscosity_Cu250Zr250_dT50K_3/run/step_30,500.0,0.515874
viscosity_Cu250Zr250_dT50K_3/run/step_13,1350.0,0.00408071
viscosity_Cu250Zr250_dT50K_3/run/step_5,1750.0,0.00312975
viscosity_Cu250Zr250_dT50K_3/run/step_11,1450.0,0.00459139
viscosity_Cu250Zr250_dT50K_3/run/step_14,1300.0,0.00561282
viscosity_Cu250Zr250_dT50K_3/run/step_37,150.0,20.2123
viscosity_Cu250Zr250_dT50K_3/run/step_20,1000.0,0.0212672
viscosity_Cu250Zr250_dT50K_3/run/step_21,950.0,0.0251465
viscosity_Cu250Zr250_dT50K_3/run/step_19,1050.0,0.0167127
viscosity_Cu250Zr250_dT50K_3/run/step_38,100.0,31.1085
viscosity_Cu250Zr250_dT50K_3/run/step_27,650.0,1.1212
viscosity_Cu250Zr250_dT50K_3/run/step_31,450.0,3.89308
viscosity_Cu250Zr250_dT50K_3/run/step_28,600.0,2.2284
viscosity_Cu250Zr250_dT50K_3/run/step_10,1500.0,0.00424578
viscosity_Cu250Zr250_dT50K_3/run/step_23,850.0,0.106749
viscosity_Cu250Zr250_dT50K_3/run/step_9,1550.0,0.00436892
viscosity_Cu250Zr250_dT50K_3/run/step_34,300.0,9.643
viscosity_Cu250Zr250_dT50K_3/run/step_8,1600.0,0.00432535
viscosity_Cu250Zr250_dT50K_3/run/step_12,1400.0,0.0033806
viscosity_Cu250Zr250_dT50K_3/run/step_25,750.0,0.786346
viscosity_Cu250Zr250_dT50K_3/run/step_32,400.0,6.84098
viscosity_Cu250Zr250_dT50K_3/run/step_18,1100.0,0.00992396
viscosity_Cu250Zr250_dT50K_3/run/step_16,1200.0,0.00664707
viscosity_Cu250Zr250_dT50K_3/run/step_36,200.0,15.2412
viscosity_Cu250Zr250_dT50K_3/run/step_35,250.0,11.8457
viscosity_Cu250Zr250_dT50K_3/run/step_26,700.0,1.2088
viscosity_Cu250Zr250_dT50K_3/run/step_0,2000.0,0.00225239
viscosity_Cu250Zr250_dT50K_3/run/step_2,1900.0,0.00292835
viscosity_Cu250Zr250_dT50K_3/run/step_15,1250.0,0.00699971
viscosity_Cu250Zr250_dT50K_3/run/step_4,1800.0,0.00348219
viscosity_Cu250Zr250_dT50K_3/run/step_33,350.0,8.37218
viscosity_Cu250Zr250_dT50K_3/run/step_17,1150.0,0.00803632
viscosity_Cu250Zr250_dT50K_3/run/step_24,800.0,0.395119
viscosity_Cu250Zr250_dT50K_3/run/step_6,1700.0,0.00337496
viscosity_Cu250Zr250_dT50K_3/run/step_3,1850.0,0.00302302
viscosity_Cu250Zr250_dT50K_3/run/step_22,900.0,0.0682394
viscosity_Al35Cu225Zr240_dT50K_3/run/step_7,1650.0,0.00383338
viscosity_Al35Cu225Zr240_dT50K_3/run/step_1,1950.0,0.00271857
viscosity_Al35Cu225Zr240_dT50K_3/run/step_29,550.0,3.64275
viscosity_Al35Cu225Zr240_dT50K_3/run/step_30,500.0,11.9707
viscosity_Al35Cu225Zr240_dT50K_3/run/step_13,1350.0,0.00618853
viscosity_Al35Cu225Zr240_dT50K_3/run/step_5,1750.0,0.00315473
viscosity_Al35Cu225Zr240_dT50K_3/run/step_11,1450.0,0.00539249
viscosity_Al35Cu225Zr240_dT50K_3/run/step_14,1300.0,0.00643889
viscosity_Al35Cu225Zr240_dT50K_3/run/step_37,150.0,29.1792
viscosity_Al35Cu225Zr240_dT50K_3/run/step_20,1000.0,0.036731
viscosity_Al35Cu225Zr240_dT50K_3/run/step_21,950.0,0.092693
viscosity_Al35Cu225Zr240_dT50K_3/run/step_19,1050.0,0.0252069
viscosity_Al35Cu225Zr240_dT50K_3/run/step_38,100.0,47.6186
viscosity_Al35Cu225Zr240_dT50K_3/run/step_27,650.0,2.5407
viscosity_Al35Cu225Zr240_dT50K_3/run/step_31,450.0,7.43453
viscosity_Al35Cu225Zr240_dT50K_3/run/step_28,600.0,3.97525
viscosity_Al35Cu225Zr240_dT50K_3/run/step_10,1500.0,0.00365885
viscosity_Al35Cu225Zr240_dT50K_3/run/step_23,850.0,0.785296
viscosity_Al35Cu225Zr240_dT50K_3/run/step_9,1550.0,0.00337477
viscosity_Al35Cu225Zr240_dT50K_3/run/step_34,300.0,13.7695
viscosity_Al35Cu225Zr240_dT50K_3/run/step_8,1600.0,0.00338731
viscosity_Al35Cu225Zr240_dT50K_3/run/step_12,1400.0,0.00405377
viscosity_Al35Cu225Zr240_dT50K_3/run/step_25,750.0,1.94689
viscosity_Al35Cu225Zr240_dT50K_3/run/step_32,400.0,9.6026
viscosity_Al35Cu225Zr240_dT50K_3/run/step_18,1100.0,0.0173137
viscosity_Al35Cu225Zr240_dT50K_3/run/step_16,1200.0,0.0121883
viscosity_Al35Cu225Zr240_dT50K_3/run/step_36,200.0,22.026
viscosity_Al35Cu225Zr240_dT50K_3/run/step_35,250.0,17.1371
viscosity_Al35Cu225Zr240_dT50K_3/run/step_26,700.0,2.49109
viscosity_Al35Cu225Zr240_dT50K_3/run/step_0,2000.0,0.00200911
viscosity_Al35Cu225Zr240_dT50K_3/run/step_2,1900.0,0.00259363
viscosity_Al35Cu225Zr240_dT50K_3/run/step_15,1250.0,0.00833871
viscosity_Al35Cu225Zr240_dT50K_3/run/step_4,1800.0,0.00303071
viscosity_Al35Cu225Zr240_dT50K_3/run/step_33,350.0,11.6403
viscosity_Al35Cu225Zr240_dT50K_3/run/step_17,1150.0,0.0110371
viscosity_Al35Cu225Zr240_dT50K_3/run/step_24,800.0,1.12767
viscosity_Al35Cu225Zr240_dT50K_3/run/step_6,1700.0,0.00347616
viscosity_Al35Cu225Zr240_dT50K_3/run/step_3,1850.0,0.00321382
viscosity_Al35Cu225Zr240_dT50K_3/run/step_22,900.0,0.235334
viscosity_Ni300Nb200_dT50K_4/run/step_7,1650.0,0.0126244
viscosity_Ni300Nb200_dT50K_4/run/step_1,1950.0,0.00594707
viscosity_Ni300Nb200_dT50K_4/run/step_29,550.0,2.04009
viscosity_Ni300Nb200_dT50K_4/run/step_30,500.0,2.19548
viscosity_Ni300Nb200_dT50K_4/run/step_13,1350.0,0.0443751
viscosity_Ni300Nb200_dT50K_4/run/step_5,1750.0,0.0095729
viscosity_Ni300Nb200_dT50K_4/run/step_11,1450.0,0.0162252
viscosity_Ni300Nb200_dT50K_4/run/step_14,1300.0,0.0811836
viscosity_Ni300Nb200_dT50K_4/run/step_37,150.0,8.10305
viscosity_Ni300Nb200_dT50K_4/run/step_20,1000.0,3.59852
viscosity_Ni300Nb200_dT50K_4/run/step_21,950.0,1.34841
viscosity_Ni300Nb200_dT50K_4/run/step_19,1050.0,2.31861
viscosity_Ni300Nb200_dT50K_4/run/step_38,100.0,12.9787
viscosity_Ni300Nb200_dT50K_4/run/step_27,650.0,1.77102
viscosity_Ni300Nb200_dT50K_4/run/step_31,450.0,2.44136
viscosity_Ni300Nb200_dT50K_4/run/step_28,600.0,1.86194
viscosity_Ni300Nb200_dT50K_4/run/step_10,1500.0,0.0217841
viscosity_Ni300Nb200_dT50K_4/run/step_23,850.0,3.93274
viscosity_Ni300Nb200_dT50K_4/run/step_9,1550.0,0.0166294
viscosity_Ni300Nb200_dT50K_4/run/step_34,300.0,3.66238
viscosity_Ni300Nb200_dT50K_4/run/step_8,1600.0,0.0159101
viscosity_Ni300Nb200_dT50K_4/run/step_12,1400.0,0.0337514
viscosity_Ni300Nb200_dT50K_4/run/step_25,750.0,3.82998
viscosity_Ni300Nb200_dT50K_4/run/step_32,400.0,2.76061
viscosity_Ni300Nb200_dT50K_4/run/step_18,1100.0,0.758291
viscosity_Ni300Nb200_dT50K_4/run/step_16,1200.0,0.324656
viscosity_Ni300Nb200_dT50K_4/run/step_36,200.0,5.76751
viscosity_Ni300Nb200_dT50K_4/run/step_35,250.0,4.59619
viscosity_Ni300Nb200_dT50K_4/run/step_26,700.0,1.70368
viscosity_Ni300Nb200_dT50K_4/run/step_0,2000.0,0.005401
viscosity_Ni300Nb200_dT50K_4/run/step_2,1900.0,0.0072748
viscosity_Ni300Nb200_dT50K_4/run/step_15,1250.0,0.125953
viscosity_Ni300Nb200_dT50K_4/run/step_4,1800.0,0.00672986
viscosity_Ni300Nb200_dT50K_4/run/step_33,350.0,3.18005
viscosity_Ni300Nb200_dT50K_4/run/step_17,1150.0,0.480585
viscosity_Ni300Nb200_dT50K_4/run/step_24,800.0,3.33443
viscosity_Ni300Nb200_dT50K_4/run/step_6,1700.0,0.00939474
viscosity_Ni300Nb200_dT50K_4/run/step_3,1850.0,0.00719461
viscosity_Ni300Nb200_dT50K_4/run/step_22,900.0,3.00583
viscosity_Zr400Cu100_dT50K_2/run/step_7,1650.0,0.00393075
viscosity_Zr400Cu100_dT50K_2/run/step_1,1950.0,0.00264237
viscosity_Zr400Cu100_dT50K_2/run/step_29,550.0,1.98217
viscosity_Zr400Cu100_dT50K_2/run/step_30,500.0,0.924959
viscosity_Zr400Cu100_dT50K_2/run/step_13,1350.0,0.00673149
viscosity_Zr400Cu100_dT50K_2/run/step_5,1750.0,0.00317591
viscosity_Zr400Cu100_dT50K_2/run/step_11,1450.0,0.00633415
viscosity_Zr400Cu100_dT50K_2/run/step_14,1300.0,0.00611089
viscosity_Zr400Cu100_dT50K_2/run/step_37,150.0,3.79496
viscosity_Zr400Cu100_dT50K_2/run/step_20,1000.0,0.0310933
viscosity_Zr400Cu100_dT50K_2/run/step_21,950.0,0.0737194
viscosity_Zr400Cu100_dT50K_2/run/step_19,1050.0,0.021553
viscosity_Zr400Cu100_dT50K_2/run/step_38,100.0,6.87467
viscosity_Zr400Cu100_dT50K_2/run/step_27,650.0,0.970479
viscosity_Zr400Cu100_dT50K_2/run/step_31,450.0,3.08977
viscosity_Zr400Cu100_dT50K_2/run/step_28,600.0,0.618028
viscosity_Zr400Cu100_dT50K_2/run/step_10,1500.0,0.00441372
viscosity_Zr400Cu100_dT50K_2/run/step_23,850.0,0.262188
viscosity_Zr400Cu100_dT50K_2/run/step_9,1550.0,0.00506387
viscosity_Zr400Cu100_dT50K_2/run/step_34,300.0,1.75178
viscosity_Zr400Cu100_dT50K_2/run/step_8,1600.0,0.00413119
viscosity_Zr400Cu100_dT50K_2/run/step_12,1400.0,0.00598935
viscosity_Zr400Cu100_dT50K_2/run/step_25,750.0,1.72113
viscosity_Zr400Cu100_dT50K_2/run/step_32,400.0,1.44738
viscosity_Zr400Cu100_dT50K_2/run/step_18,1100.0,0.017798
viscosity_Zr400Cu100_dT50K_2/run/step_16,1200.0,0.0111522
viscosity_Zr400Cu100_dT50K_2/run/step_36,200.0,2.6355
viscosity_Zr400Cu100_dT50K_2/run/step_35,250.0,2.14575
viscosity_Zr400Cu100_dT50K_2/run/step_26,700.0,1.3408
viscosity_Zr400Cu100_dT50K_2/run/step_0,2000.0,0.00288896
viscosity_Zr400Cu100_dT50K_2/run/step_2,1900.0,0.00288282
viscosity_Zr400Cu100_dT50K_2/run/step_15,1250.0,0.0111258
viscosity_Zr400Cu100_dT50K_2/run/step_4,1800.0,0.00363397
viscosity_Zr400Cu100_dT50K_2/run/step_33,350.0,2.026
viscosity_Zr400Cu100_dT50K_2/run/step_17,1150.0,0.0129448
viscosity_Zr400Cu100_dT50K_2/run/step_24,800.0,1.14686
viscosity_Zr400Cu100_dT50K_2/run/step_6,1700.0,0.00362703
viscosity_Zr400Cu100_dT50K_2/run/step_3,1850.0,0.00321102
viscosity_Zr400Cu100_dT50K_2/run/step_22,900.0,0.160059
viscosity_Zr400Cu100_dT50K_3/run/step_7,1650.0,0.00428456
viscosity_Zr400Cu100_dT50K_3/run/step_1,1950.0,0.00343869
viscosity_Zr400Cu100_dT50K_3/run/step_29,550.0,1.59465
viscosity_Zr400Cu100_dT50K_3/run/step_30,500.0,1.26125
viscosity_Zr400Cu100_dT50K_3/run/step_13,1350.0,0.00875576
viscosity_Zr400Cu100_dT50K_3/run/step_5,1750.0,0.00304507
viscosity_Zr400Cu100_dT50K_3/run/step_11,1450.0,0.00587203
viscosity_Zr400Cu100_dT50K_3/run/step_14,1300.0,0.0070669
viscosity_Zr400Cu100_dT50K_3/run/step_37,150.0,10.2043
viscosity_Zr400Cu100_dT50K_3/run/step_20,1000.0,0.0278809
viscosity_Zr400Cu100_dT50K_3/run/step_21,950.0,0.0559827
viscosity_Zr400Cu100_dT50K_3/run/step_19,1050.0,0.0223408
viscosity_Zr400Cu100_dT50K_3/run/step_38,100.0,15.6264
viscosity_Zr400Cu100_dT50K_3/run/step_27,650.0,0.641001
viscosity_Zr400Cu100_dT50K_3/run/step_31,450.0,0.616996
viscosity_Zr400Cu100_dT50K_3/run/step_28,600.0,1.02067
viscosity_Zr400Cu100_dT50K_3/run/step_10,1500.0,0.0049434
viscosity_Zr400Cu100_dT50K_3/run/step_23,850.0,0.320607
viscosity_Zr400Cu100_dT50K_3/run/step_9,1550.0,0.00475194
viscosity_Zr400Cu100_dT50K_3/run/step_34,300.0,4.22996
viscosity_Zr400Cu100_dT50K_3/run/step_8,1600.0,0.0031882
viscosity_Zr400Cu100_dT50K_3/run/step_12,1400.0,0.00683143
viscosity_Zr400Cu100_dT50K_3/run/step_25,750.0,1.67992
viscosity_Zr400Cu100_dT50K_3/run/step_32,400.0,2.73128
